2016-05-25 04:31:40,992 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:40,993 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:41,496 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:41,501 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:42,004 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:42,005 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:42,509 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:42,510 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:43,014 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:43,016 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:43,519 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:43,521 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:44,025 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:44,027 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:44,540 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:44,544 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:45,048 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:45,050 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:45,555 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:45,557 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:45,559 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:46,062 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:46,063 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:46,065 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:46,567 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:46,569 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:46,570 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:47,073 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:47,075 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:47,076 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:47,588 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:47,591 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
