2016-05-08 20:38:44,844 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-08 20:38:44,847 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-08 20:38:44,854 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-08 20:38:45,444 | INFO | MainSupport.java 82 | Received hang up - stopping the main instance.
2016-05-08 20:38:45,446 | INFO | MainSupport.java 323 | Apache Camel 2.15.2 stopping
2016-05-08 20:38:45,448 | INFO | AbstractApplicationContext.java 862 | Closing org.springframework.context.support.ClassPathXmlApplicationContext@2b1d8f11: startup date [Sun May 08 20:38:26 IST 2016]; root of context hierarchy
2016-05-08 20:38:45,451 | INFO | DefaultCamelContext.java 2660 | Apache Camel 2.15.2 (CamelContext: camel-1) is shutting down
2016-05-08 20:38:45,455 | INFO | DefaultShutdownStrategy.java 184 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2016-05-08 20:38:45,473 | INFO | DefaultShutdownStrategy.java 647 | Route: route1 shutdown complete, was consuming from: Endpoint[timer://timer1?period=2s]
2016-05-08 20:38:45,476 | INFO | DefaultShutdownStrategy.java 247 | Graceful shutdown of 1 routes completed in 0 seconds
2016-05-08 20:38:45,490 | INFO | DefaultCamelContext.java 2745 | Apache Camel 2.15.2 (CamelContext: camel-1) uptime 16.189 seconds
2016-05-08 20:38:45,494 | INFO | DefaultCamelContext.java 2746 | Apache Camel 2.15.2 (CamelContext: camel-1) is shutdown in 0.039 seconds
2016-05-25 03:40:26,774 | INFO | MainSupport.java 329 | Apache Camel 2.15.2 starting
2016-05-25 03:40:27,005 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@212f04c9: startup date [Wed May 25 03:40:26 IST 2016]; root of context hierarchy
2016-05-25 03:40:27,150 | INFO | XmlBeanDefinitionReader.java 317 | Loading XML bean definitions from file [C:\Users\sindhusunil\workspace\jdbcComponent\target\classes\META-INF\spring\applicationContext.xml]
2016-05-25 03:40:29,271 | INFO | DriverManagerDataSource.java 133 | Loaded JDBC driver: com.mysql.jdbc.Driver
2016-05-25 03:40:29,884 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-schema.sql]
2016-05-25 03:40:31,086 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-schema.sql] in 1201 ms.
2016-05-25 03:40:31,086 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-test-data.sql]
2016-05-25 03:40:31,234 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-test-data.sql] in 137 ms.
2016-05-25 03:40:31,649 | INFO | DefaultCamelContext.java 2418 | Apache Camel 2.15.2 (CamelContext: camel-1) is starting
2016-05-25 03:40:31,651 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2016-05-25 03:40:31,987 | INFO | DefaultTypeConverter.java 56 | Loaded 183 type converters
2016-05-25 03:40:32,235 | INFO | DefaultCamelContext.java 2633 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2016-05-25 03:40:32,235 | INFO | DefaultCamelContext.java 2643 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2016-05-25 03:40:32,295 | INFO | DefaultCamelContext.java 3164 | Route: route1 started and consuming from: Endpoint[timer://timer1?period=2s]
2016-05-25 03:40:32,298 | INFO | DefaultCamelContext.java 2453 | Total 1 routes, of which 1 is started.
2016-05-25 03:40:32,301 | INFO | DefaultCamelContext.java 2454 | Apache Camel 2.15.2 (CamelContext: camel-1) started in 0.650 seconds
2016-05-25 03:40:33,345 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:33,509 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:33,973 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:34,006 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:35,299 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:35,318 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:35,318 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:35,318 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:37,314 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:37,333 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:37,333 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:37,333 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:39,315 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:39,335 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:39,335 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:39,335 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:41,320 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:41,339 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:41,339 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:41,339 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:43,325 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:43,344 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:43,344 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:43,344 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:45,340 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:45,360 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:45,360 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:45,360 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:40:47,340 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:40:47,361 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:40:47,364 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:40:47,368 | INFO | MarkerIgnoringBase.java 95 | process row {ID=3, NAME=Camel JDBC Example, CATEGORY=camel, TAGS=camel,jdbc, AUTHOR=Joe}
2016-05-25 03:53:23,652 | INFO | MainSupport.java 329 | Apache Camel 2.15.2 starting
2016-05-25 03:53:23,835 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4a81c05a: startup date [Wed May 25 03:53:23 IST 2016]; root of context hierarchy
2016-05-25 03:53:23,957 | INFO | XmlBeanDefinitionReader.java 317 | Loading XML bean definitions from file [C:\Users\sindhusunil\workspace\jdbcComponent\target\classes\META-INF\spring\applicationContext.xml]
2016-05-25 03:53:25,787 | INFO | DriverManagerDataSource.java 133 | Loaded JDBC driver: com.mysql.jdbc.Driver
2016-05-25 03:53:26,153 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-schema.sql]
2016-05-25 03:53:26,153 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-schema.sql] in 0 ms.
2016-05-25 03:53:26,153 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-test-data.sql]
2016-05-25 03:53:26,153 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-test-data.sql] in 0 ms.
2016-05-25 03:53:26,577 | INFO | DefaultCamelContext.java 2418 | Apache Camel 2.15.2 (CamelContext: camel-1) is starting
2016-05-25 03:53:26,577 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2016-05-25 03:53:26,810 | INFO | DefaultTypeConverter.java 56 | Loaded 183 type converters
2016-05-25 03:53:27,018 | INFO | DefaultCamelContext.java 2633 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2016-05-25 03:53:27,019 | INFO | DefaultCamelContext.java 2643 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2016-05-25 03:53:27,094 | INFO | DefaultCamelContext.java 3164 | Route: route1 started and consuming from: Endpoint[timer://timer1?period=2s]
2016-05-25 03:53:27,094 | INFO | DefaultCamelContext.java 2453 | Total 1 routes, of which 1 is started.
2016-05-25 03:53:27,094 | INFO | DefaultCamelContext.java 2454 | Apache Camel 2.15.2 (CamelContext: camel-1) started in 0.517 seconds
